recipient,first_block,amount_cell,txs,share_of_total_out_percent
0xf55a6d566e2d1e8260705983e6dfaae151f9262f,34209386,66.778772820828080822,1,0.001335548745441652783384332313
0x8cdcdff752e4a0fc94fe119014f51912d7fb6b75,36982875,66.20950909550321704,1,0.001324163698636091618967620648
0x3d9c7c7c419a20c0ed3840f137ca729d3b67aecc,36586201,65.659047119290862244,1,0.001313154679292231400251994960
0xb6d87ff789b20825fd3088ac23f934bae2d081b8,34838653,65.55,1,0.001310973780524389512209755805
0x2e646bf433355af3d8c171143acb386c68695302,36845981,64.598165087705232625,1,0.001291937463004844555608887822
0xf080e7ab674c69047de4c1e462aefb23bb5a8503,23341225,63.96453765563541,1,0.001279265167809352012959740805
0x5700c37a15b19cf96ee0e7a183b41bdf733c739f,36040867,63.42,1,0.001268374632507349853002939941
0x9e9a206bca6eb7c1a0c774fc1bdd5ef377baa983,27284133,63.164,1,0.001263254734905301893962120758
0xb73d2de279fb6b671a3a4158d60ee9d625bedac1,36580076,62.988941590240074115,1,0.001259753636732066840963180736
0x325e87d690b1aab8be198f82691c4c349befcc06,36527303,62.7,1,0.001253974920501589968200635987
0x62a0175db3367901f459dfb512df618de0f5af4e,34455975,62.231696671874942374,1,0.001244609041256673714005719886
0x299c4b287cdad89a2032ad6ee8250b0be53931d9,36407083,62.051388443987200872,1,0.001241002948820767602087958241
0x94a59dba4298eafa164db43b563cf5977114ebb2,33753962,62,1,0.001239975200495990080198396032
0xc297c60f6cc4ff15dd725196901fce22baf91e7c,37251384,61.94,1,0.001238775224495510089798204036
0x285f782b80a92a7646ed657c8818cfe380afdb78,36381968,61.75,1,0.001234975300493990120197596048
0x7f08a45dd27ab21779fcc373ee61a1c67620b72a,23757241,61.18,2,0.001223575528489430211395772085
0x289ab89b67af00cf1d5489a922cfd50776ce794f,36929736,60.666272460990671346,1,0.001213301183196149503929921402
0x9cab78128bc77d48963ea9027dbd4260d2a469d8,37542091,60.3,1,0.001205975880482390352192956141
0xa02ce9f75e1c70ba1cfa5ae5bd91a24cd51a1ccd,27316531,60,1,0.001199976000479990400191996160
0xac3269a2a0704bde92e2a019c5b0e4f5fe323191,36488778,59.545859250219056197,1,0.001190893367137038383172336553
0x52b1ad301b15676b0306471a7b6f47211da4e9f1,36844661,59.400617739635284533,1,0.001187988595020805274554508910
0x0b0258eaaffd36cd9abb59844e95727fadefed67,36796484,59.396963864850184642,1,0.001187915518986623960360792784
0x0fc2c5913c5248d12c0679129d49a0e96f75936a,25322946,58.936717191183796,1,0.001178710769608283754324913502
0x26fca84638b4d701da8786ade0e2415f2609daea,27359011,58.656,1,0.001173096538069238615227695446
0x243e6cd66c6e67d0a5d70a6045ac8866a6c14a6b,36854042,58.630230098725374831,1,0.001172581150351500466610667787
0x96a8a49f0858b1cb1a6204a2b46d7c4723a179b5,37472465,57.394973452279173182,1,0.001147876511515353156576868463
0xb92d9ec60b3b594c0b6bb5cc368668e8c20a953d,31822850,56.5,1,0.001129977400451990960180796384
0xeefce6c6f591217364e22c792b08f73e4ce233fa,25604216,56.06,1,0.001121177576448471030579388412
0x6b8a43da9ca6745c7a0f9343193dda6fddd59955,37980721,55.573148923494696263,1,0.001111440749654900827243455131
0x6259b85108496c3ed9a5a7f750051f3f0d3656e4,36595386,55.018637282514450676,1,0.001100350738635516303193936121
0x3dd5f1fa9bb661cc6f5002c1c2dd9ca5c9f60b96,27283970,54.97,1,0.001099378012439751204975900482
